,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,Lat,Long
32127,1318044,NEW YORK,RW,341,830945,SGRILL PLAN A GROUP LLC,KIKI'S GRILL & ROTISSERIE,121 DIVISION ST,,NEW YORK,NY,10002,10/04/2019,09/30/2021,"RESTAURANT SERVING BEER, CIDER, AND WINE",CB 3 Stips: Hours 12pm - 12am Daily,Recorded Background Music Only,,40.7143643,-73.9918059
32132,1240724,NEW YORK,RW,341,841012,MOON HOUSE CHINESE RESTAURANT INC,MOON HOUSE RESTAURANT,1810 3RD AVE STORE 1,,NEW YORK,NY,10029,09/19/2019,09/30/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,0.0,0.0
32141,1023575,NEW YORK,L,222,907912,CHELSEA WINERY LTD,CHELSEA WINE VAULT,75 9TH AVENUE,,NEW YORK,NY,10011,08/30/2018,09/30/2021,LIQUOR STORE SELLING WINES AND LIQUORS,,,,40.7420513,-74.0048973
32143,1319015,NEW YORK,DX,126,917891,CVS ALBANY LLC,CVS/PHARMACY #11132,196 ORCHARD ST,,NEW YORK,NY,10002,11/06/2019,06/30/2021,"DRUG STORE SELLING BEER, WINE PRODUCTS AND CIDER",,,,40.722304,-73.9879659
32159,1303100,NEW YORK,RW,341,840440,DEROSSI MAC LLC,LADYBIRD,111 E 7TH ST,SPACE 2,NEW YORK,NY,10009,07/12/2019,07/31/2021,"RESTAURANT SERVING WINE, BEER AND CIDER",CB3 Stips:  5 PM to 2 AM and Sat - Sun 3 PM to 3 AM; Happy Hour Permitted to 7 PM All Days,"Recorded Music Permitted, No Dancing and Use of Outdoor Space is Prohibited",,42.7142829,-73.70551859999999
32162,1306446,NEW YORK,RW,341,842163,KUNI'S CORPORATION,PEPPER LUNCH,243 W 54TH ST,,NEW YORK,NY,10019,04/02/2020,03/31/2022,"RESTAURANT SERVING BEER, WINE & CIDER",,Recorded Background Music Only and No Dancing,,40.7645366,-73.9833266
32164,1154652,NEW YORK,RW,341,841034,HANA SUSHI JAPANESE RESTAURANT INC,,211 7TH AVENUE,22ND STREET & 23RD STREET,NEW YORK,NY,10011,09/20/2019,09/30/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.6702016,-73.9786253
32169,1303202,NEW YORK,OP,252,906335,NYC HARLEM GROUP LLC,TIOS BISTRO,421 LENOX AVE,,NEW YORK,NY,10027,05/22/2019,06/30/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER     ",,Recorded Music,,40.70577434375,-73.59693953125
32170,1316926,NEW YORK,OP,252,889070,CABRERA ARGUDO CORP,RANCHO TEQUILERIA,718 AMSTERDAM AVE,,NEW YORK,NY,10025,07/03/2019,06/30/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER     ",,Recorded Music; Licensed Sidewalk Cafe ,,40.7933325,-73.9711112
32181,1267818,NEW YORK,AX,122,909894,SHREE YAMUNAKRUPA CORP,BOUWERIE ICONIC MAGAZINE,215 BOWERY ,,NEW YORK,NY,10002,11/06/2018,12/31/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.721659,-73.9932855
32182,1223895,NEW YORK,OP,252,914507,129 LEXINGTON REST CORP,WHISKEY REBEL,129 LEXINGTON AVE,28TH & 29TH STREETS,NEW YORK,NY,10016,01/23/2020,01/31/2022,BAR TAVERN SERVING LIQUOR WINE CIDER AND BEER,Sunday - Wednesday 11:00 a.m. - 2:00 a.m.,Thursday - Saturday 11:00 a.m. - 3:00 a.m.,,40.7429493,-73.9820378
32185,1149519,NEW YORK,OP,252,916969,FT SEVENTH AVE LLC,BAR VELOCE,176 7TH AVENUE,CHARLTON ST & VANDAM STREET,NEW YORK,NY,10003,04/06/2020,04/30/2022,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,,40.74258525,-73.99704079926343
32189,1289436,NEW YORK,AX,122,909160,BADWAL CORP,7 ELEVEN STORE #36008A,194 7TH AVE,,NEW YORK,NY,10011,10/18/2018,11/30/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.6711015,-73.9782778
32207,1307129,NEW YORK,OP,252,913906,SAM WON GARDEN NEW YORK INC,SAM WON GARDEN ,37 W 32ND ST,,NEW YORK,NY,10001,12/30/2019,12/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",,Recorded Music Permitted and No Dancing,,40.65879,-74.00561766666667
32211,1021667,NEW YORK,AX,122,911113,HAMILTON CORNER MEAT MARKET INC,,1 HAMILTON PLACE,,NEW YORK,NY,10031,12/04/2018,11/30/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.8207629,-73.9542322
32223,1317310,NEW YORK,OP,252,889131,"CALAVERAS GROUP LLC, THE",,949 COLUMBUS AVE,,NEW YORK,NY,10025,07/25/2019,06/30/2021,"RESTAURANT SERVING BEER, WINE, LIQUOR AND CIDER",Recorded music,,,40.79952185,-73.96232146593329
32228,1255712,NEW YORK,RW,341,840546,OLD NEW YORK PIZZA CORP,LUNA PIZZA,227 231 PARK ROW,,NEW YORK,NY,10038,07/25/2019,07/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,Recorded Music,,42.089392,-78.154098
32231,1287084,NEW YORK,AX,122,901117,876 NEW MARKET CORP,876 MARKET DELI,876 6TH AVE,,NEW YORK,NY,10001,06/05/2018,07/31/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS      ,,,,40.7479047,-73.9889195
32235,1172992,NEW YORK,OP,252,915739,LUCKY DELI INC,ASIAN KOBE,12 E 37TH ST,MADISON & 5TH AVENUE,NEW YORK,NY,10016,02/27/2020,02/28/2022,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.7498699,-73.9823437
32246,1022727,NEW YORK,DX,126,901766,RITE AID OF NEW YORK INC,RITE AID PHARMACY #4945,35 45 W 125TH ST,,NEW YORK,NY,10027,06/12/2018,07/31/2021,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.8129241,-73.9558764
32247,2001351,ALBANY,RR,250,909576,AMTRAK N R P CORP,PENN STATION CAR 41,PENN STATION,UNDER OPTION B,NEW YORK,NY,10001,08/27/2019,09/30/2021,"RAILROAD CAR SERVING BEER, CIDER, WINE AND LIQUOR",,,,40.751037,-73.9906989
32253,2001365,ALBANY,RR,250,909590,AMTRAK N R P CORP,PENN STATION CAR 4,PENN STATION,UNDER OPTION B,NEW YORK,NY,10001,08/27/2019,09/30/2021,"RAILROAD CAR SERVING BEER, CIDER, WINE AND LIQUOR",,,,40.751037,-73.9906989
32254,1102941,NEW YORK,OP,252,915478,GREEK KITCHEN INC,THE GREEK KITCHEN,885 10TH AVENUE,,NEW YORK,NY,10019,02/19/2020,02/28/2022,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,,42.724908,-73.7111852
32259,1286089,NEW YORK,OP,252,915205,WESTAUB II LLC,LE COQ RICO,30 E 20TH ST,,NEW YORK,NY,10003,02/10/2020,02/28/2022,"RESTAURANT SERVING BEER, WINE, CIDER, AND LIQUOR.",CB5 Stips: To Close 12am Su-Th & 1am F-Sa ,"Background Recorded Music Only, No Dancing or Outside Areas",,42.73035763157895,-73.69976184210526
32261,1258420,NEW YORK,RW,341,841256,TOP ONE TOP INC ,TABATA NOODLE RESTAURANT ,540 9TH AVE ,,NEW YORK,NY,10018,10/15/2019,10/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,NO DANCING,,42.71375797959184,-73.71273887755102
32262,1320245,NEW YORK,OP,252,890032,PERRY & HUDSON LLC,DANTE WEST VILLAGE,551 HUDSON ST ,CORNER STORE,NEW YORK,NY,10014,03/16/2020,02/28/2022,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,FB stips: Close Daily 2am ,CB2 Stips: Background Music ,,40.7352204,-74.0062506
32268,1291649,NEW YORK,RW,341,836199,ELMER KENNEDY LLC,PASQUALE JONES,86 KENMARE ST,,NEW YORK,NY,10012,04/15/2020,01/31/2022,RESTAURANT SERVING BEER CIDER AND WINE,Sun- Mon 11am- 2am; Tues- Sat 11 am-2 am,Recorded Music ,,40.7211407,-73.9968442
32269,1273685,NEW YORK,OP,252,910751,CONGEE VILLAGE INC,CONGEE VILLAGE RESTAURANT,100 ALLEN ST,,NEW YORK,NY,10002,01/10/2020,12/31/2021,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR ",,"BACKGROUND MUSIC ONLY, NO DANCING PERMITTED ",,40.7187155,-73.9903472
32282,1102278,NEW YORK,OP,252,914903,LLB INC,PASCALOU,1308 MADISON AVENUE,,NEW YORK,NY,10128,02/03/2020,02/28/2022,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",,,,40.7851416,-73.9558929
32287,1286194,NEW YORK,AX,122,899626,JIAJIA 99 & UP INC,,81 BAYARD ST,UNIT B,NEW YORK,NY,10013,05/03/2018,06/30/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.71558995,-73.99887766406681
32290,1288191,NEW YORK,RW,341,841204,NOMAD KITCHEN LLC,BLANK SLATE COFFEE + KITCHEN,121 MADISON AVE,,NEW YORK,NY,10016,10/08/2019,10/31/2021,RESTAURANT SERVING BEER CIDER AND WINE ONLY,,Recorded music; Sidewalk Cafe,,42.64599,-73.7551288
32301,1302570,NEW YORK,CT,246,907859,FLIK INTERNATIONAL CORP,,1221 AVENUE OF THE AMERICAS,49TH & 50TH FLOORS,NEW YORK,NY,10036,07/16/2019,07/31/2021,CATERER SERVING LIQUOR WINE BEER AND CIDER,,Recorded Music Permitted and No Dancing,,40.7595447,-73.98253281534684
32304,1266165,NEW YORK,TW,344,925969,PACE UNIVERSITY,MICHAEL SCHIMMEL CTR OF THE ARTS,3 SPRUCE ST,,NEW YORK,NY,10038,04/22/2020,04/30/2022,THEATRE SERVING WINE CIDER AND BEER,,,,40.710781,-74.004764
32306,1296727,NEW YORK,OP,252,907145,28 WEST 44TH RESTAURANT LLC,SEN SAKANA,28 W 44TH ST,,NEW YORK,NY,10036,06/21/2019,06/30/2021,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,Recorded music,,40.7553315,-73.9814989
32313,1019169,NEW YORK,A,122,914180,M & A VARIETY STORE INC,,248 E 44TH STREET,,NEW YORK,NY,10017,03/19/2019,04/30/2022,GROCERY STORE SELLING BEER & CIDER ONLY,,,,40.65173012244898,-74.0124046122449
32317,1217089,NEW YORK,OP,252,912489,CENTERCUT RESTAURANT CORP,RYE HOUSE,11 W 17TH STREET,,NEW YORK,NY,10011,11/04/2019,10/31/2021,RESTAURANT SERVING LIQUOR/WINE/BEER/CIDER,,Background recorded music only; no dancing,,40.7383522,-73.9929398
32327,1318981,NEW YORK,RW,341,831016,HAMILTON'S VPK LLC,HAMILTON'S ,3570 BROADWAY,,NEW YORK,NY,10031,12/09/2019,11/30/2021,"RESTAURANT/CAFE SERVING WINE, BEER AND CIDER",,Recorded and Live Acoustic Music Permitted and No Dancing,,40.8274731,-73.9493563
32341,2001348,ALBANY,RR,250,909573,AMTRAK N R P CORP,PENN STATION CAR 37,PENN STATION,UNDER OPTION B,NEW YORK,NY,10001,08/27/2019,09/30/2021,"RAILROAD CAR SERVING BEER, CIDER, WINE AND LIQUOR",,,,40.751037,-73.9906989
32343,1140592,NEW YORK,RW,341,840878,128 MAC CORP,PYLOS,128 E 7TH STREET,1ST AVENUE & AVENUE A,NEW YORK,NY,10009,08/30/2019,10/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,42.71413392,-73.70561768
32344,1141555,NEW YORK,OP,252,909509,MULBERRY STREET BAR LLC,,176 1/2 MULBERRY ST,GRAND ST & BROOME ST,NEW YORK,NY,10013,08/26/2019,09/30/2021,TAVERN SERVING BEER CIDER WINE AND LIQUOR,SIDEWALK CAFE PERMITTED FOR MULBERRY ST MALL/SAN GENNARO FEAST 2016 ONLY,RECORDED MUSIC,,42.8981865,-78.86177475000001
32352,1294821,NEW YORK,WW,303,914338,CHARBAUT AMERICA INC,VRANKEN POMMERY AMERICA,12 E 33RD ST,7TH FL,NEW YORK,NY,10016,03/28/2019,03/31/2022,WHOLESALE WINE,,,,40.65838140740741,-74.00680248148147
32360,1027930,NEW YORK,OP,252,911852,SANDBAR CONCESSION INC,NEDERLANDER THEATRE,208 W 41ST ST,,NEW YORK,NY,10036,10/15/2019,10/31/2021,TAVERN SERVING BEER CIDER WINE AND LIQUOR,,,,40.7554837,-73.98830234615221
32388,1317109,NEW YORK,OP,252,889343,PRINKIPAS LLC,LOLA TAVERNA,210 6TH AVE,UNIT 1F,NEW YORK,NY,10012,09/19/2019,08/31/2021,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,CB#2 Stips: Hrs: Su-10am-12am; M-W 11am-12am; Th-Sa 11am-1am; Sidewalk Closes 10pm Su-Th 11pm Fr-Sa,"No Sidewalk Cafe W/O Permit; Recorded Music Only; No Promoted Events, No Security",,40.6752691,-73.9782118
32393,1319875,NEW YORK,RW,341,831054,AOI KITCHEN LLC,,320 E 6TH ST ,,NEW YORK,NY,10003,01/10/2020,12/31/2021,"RESTAURANT SERVING WINE, BEER AND CIDER","CB3 Stips:11 AM to 12 AM All Days, No Happy Hr/Drink Specials","Recorded Music Permitted, No Dancing & Use of Outdoor Space for Commercial Use is Prohibited",,42.71295216326531,-73.70769163265307
32407,1274042,NEW YORK,OP,252,913235,GARLIC NY PIZZA BAR CO LTD,,629 2ND AVE,,NEW YORK,NY,10016,11/27/2019,11/30/2021,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR",,,,40.7451397,-73.975856
32414,1313529,NEW YORK,AX,122,903686,HENG YUN GROCERY INC,,329 GRAND ST,,NEW YORK,NY,10002,12/20/2018,11/30/2021,GROCERY STORE SELLING BEER AND WINE PRODUCTS,,,,40.7127726,-73.9562128633699
32419,1170178,NEW YORK,OP,252,916116,DUBLIN 6 AT 115 BROADWAY INC,TRINITY PLACE,115 BROADWAY,BROADWAY & NASSAU STREET,NEW YORK,NY,10006,03/09/2020,03/31/2022,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,,40.7090297,-74.0114731
32439,1267728,NEW YORK,RW,341,841863,H & M RESTAURANT INC   ,LA BELLA VITA,163 MULBERRY ST,,NEW YORK,NY,10013,01/17/2020,01/31/2022,RESTAURANT SERVING WINE CIDER AND BEER,SIDEWALK CAFE PERMITTED FOR MULBERRY ST MALL/SAN GENNARO FEAST 2016 ONLY,"RECORDED MUSIC PERMITTED, NO DANCING",,40.7197765,-73.99739196862089
32441,1273672,NEW YORK,RW,341,840844,48 ROCKEFELLER CORP,DELIS 48,48 W 48TH ST,,NEW YORK,NY,10036,08/26/2019,09/30/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.7580252,-73.9803925
32442,1266118,NEW YORK,OP,252,908053,SAHARA PLAZA LLC,THE PLAZA FOOD HALL BY TODD ENGLISH               ,1 W 58TH ST,,NEW YORK,NY,10019,07/22/2019,07/31/2021,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,,Live/Recorded Music,,40.7687711,-73.9853107
32448,1257902,NEW YORK,OP,252,915032,REINS INTERNATIONAL NEW YORK INC,GYU KAKU RESTAURANT ,"321 W 44TH ST, SPACE 103",,NEW YORK,NY,10036,02/05/2020,02/28/2022,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",,Recorded music,,0.0,0.0
32451,1258175,NEW YORK,OP,252,912706,SXB RESTAURANT CORP,IL TINELLO RISTORANTE,16 W 56TH ST,,NEW YORK,NY,10019,11/13/2019,11/30/2021,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",,Recorded Music,,40.76255465,-73.97566583164243
32455,1291646,NEW YORK,RW,341,841804,WU'S WONTON KING INC,,165 E BROADWAY ,,NEW YORK,NY,10002,12/27/2019,02/28/2022,RESTAURANT SERVING BEER CIDER AND WINE ONLY,CB3 Stips: 11am to 12am All Days ,Recorded Music Permitted and No Dancing,,40.7139189,-73.989957
32475,1224867,NEW YORK,HL,242,913815,342 PROPERTY LLC & AHM NEW YORK ASSOCIATES INC,DISTRIKT HOTEL OF NYC,342 W 40TH ST,8TH &  9TH AVENUES,NEW YORK,NY,10018,12/24/2019,01/31/2022,HOTEL SERVING LIQUOR WINE BEER & CIDER,,Includes Room Service & Mini Bars,,40.75660285,-73.99286211271647
32485,1166123,NEW YORK,RW,341,840957,BURP CASTLE LLC,BURP CASTLE,41 E 7TH ST,2ND AVENUE & BOWERY,NEW YORK,NY,10003,09/12/2019,09/30/2021,RESTAURANT SERVING BEER CIDER  AND WINE,,,,42.7141286122449,-73.70489089795919
32497,1191178,NEW YORK,RW,341,841111,PQ FIRST INC,LE PAIN QUOTIDIEN,1270 1272 1ST AVENUE,E 86TH ST/E. 69TH ST,NEW YORK,NY,10021,09/27/2019,08/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.765433,-73.9576053
32505,1302389,NEW YORK,RW,341,840492,POLASH INDIAN CUISINE & RESTAURANT INC,,2179 3RD AVE,,NEW YORK,NY,10035,07/19/2019,07/31/2021,RESTAURANT SERVING BEER WINE AND CIDER,CB stips: Hours: 11am-11pm ,Recorded music,,40.799638,-73.9385346
32506,1270562,NEW YORK,OP,252,911740,14 SPRING STREET CAFE LLC,RINTINTIN,14 SPRING STREET,,NEW YORK,NY,10012,10/10/2019,10/31/2021,RESTAURANT SERVING BEER CIDER WINE & LIQUOR,Sun: 10AM to Mid / Mon-Wed 10AM to 1AM / Thurs to Sat 10AM to 2AM,,,40.7127281,-74.0060152
32510,1022514,NEW YORK,CL,243,915554,KOLPING SOCIETY OF NEW YORK,,165 E 88TH STREET,,NEW YORK,NY,10128,02/20/2020,02/28/2022,CLUB RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,Members Only,,40.62299332653062,-74.03526859183674
32516,1305184,NEW YORK,TW,344,922341,SUSHI ON WEST 10TH LLC,SUSHI ON JONES,210 W 10TH ST,UNIT 2,NEW YORK,NY,10014,11/14/2019,11/30/2021,SUSHI BAR/TAVERN SERVING BEER WINE AND CIDER,,,,40.7338821,-74.00414915426026
32518,1299691,NEW YORK,OP,252,907910,CHANSON 23RD STREET LLC,PATISSERIE CHANSON,20 W 23RD ST,,NEW YORK,NY,10010,07/18/2019,07/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER     ",,Recorded Music,,40.893714874551634,-73.09716014812423
32521,1303451,NEW YORK,OP,252,907033,CORNELL UNIV & GALAXY REST'S CATERING GROUP LP,,2 W LOOP RD,,NEW YORK,NY,10044,06/19/2019,06/30/2021,BAR/TAVERN SERVING BEER WINE AND LIQUOR,,CB 1 STips: No Bar Crawls No electric delivery bikes,,41.201835,-73.608696
32527,1269077,NEW YORK,A,122,913662,DELICIOUS MARKET INC,UNIVERSITY MARKET PLACE,20 E 16TH ST,,NEW YORK,NY,10003,03/01/2019,04/30/2022,GROCERY STORE SELLING BEER & CIDER  ,,,,40.7367286,-73.9914999
32530,1282873,NEW YORK,RW,341,840766,PEQUE VINOS & TAPAS LLC,,231 W 145TH ST,,NEW YORK,NY,10039,08/19/2019,07/31/2021,RESTAURANT SERVING WINE CIDER AND BEER,CB10 APPROVED HOURS OF OPERATION: TUES - THURS FROM 4:00 PM TO 10:00 PM AND FRI - SUN FROM 4:00 PM TO 11:00 PM,"RECORDED MUSIC PERMITTED, NO DANCING",,40.8225448,-73.9404222093145
32532,1028628,NEW YORK,RL,241,915409,LAUREL LEE REST INC,UN DEUX TROIS CAFE,123 W 44TH STREET,,NEW YORK,NY,10036,02/14/2020,02/28/2022,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,,,,40.756795749999995,-73.98412431321111
32549,1265706,NEW YORK,RW,341,841321,AW CREATIVE ASSOCIATES INC ,SAKE BAR SATSKO,202 E 7TH ST,STOREFRONT ,NEW YORK,NY,10009,10/18/2019,10/31/2021,RESTAURANT SERVING WINE CIDER AND BEER,,"RECORDED MUSIC PERMITTED, NO DANCING",,42.714239,-73.706035
32561,1320900,NEW YORK,OP,252,923692,ZAC 45 INC,LE SIA,651 9TH AVE,,NEW YORK,NY,10036,05/27/2020,04/30/2022,"RESTAURANT SERVING BEER, WINE, LIQUOR & CIDER",CB4 Stips; 4:30p-1a (M-Th); 4:30p-2a (Fr); 12p-2a (Sa); 12p-12a (Su); Close all doors/windows by 11p (Fr-Sa) and by 10p (Su-Th) ,Recorded Background Music Only,,40.760755,-73.991315
32563,1228611,NEW YORK,OP,252,913418,CERELI INC,MOLE,57 JANE ST,HUDSON & JANE STREETS,NEW YORK,NY,10014,12/05/2019,12/31/2021,RESTAURANT SERVING LIQUOR WINE CIDER & BEER,,,,40.7382199,-74.0052372
32567,1021581,NEW YORK,AX,122,914932,DOMINGO NUNEZ,DOMINGO'S GROCERY,2591 8TH AVENUE,,NEW YORK,NY,10030,04/26/2019,04/30/2022,"GROCERY STORE SELLING BEER, CIDER AND WINE PRODUCTS",,,,42.73651151020408,-73.70717555102041
32575,1275618,NEW YORK,OP,252,890033,FIGARO VILLAGGIO INC,SPICEWALA BAR,344 E 6TH ST,,NEW YORK,NY,10003,03/16/2020,01/31/2022,RESTAURANT SERVING BEER CIDER WINE & LIQUOR,,,,40.7263224,-73.9864498
32599,1260802,NEW YORK,OP,252,915210,AMBLESIDE PARTNERS LLC,PRAVDA ,281 LAFAYETTE ST,,NEW YORK,NY,10012,02/10/2020,02/28/2022,RESTAURANT/BAR SERVING LIQUOR WINE CIDER & BEER,STIPULATIONS COMM BD#2,,,40.7239341,-73.9959991
32607,1232357,NEW YORK,OP,252,916557,243 WEST 54TH CAFE INC,CHARACTERS,243 W 54TH STREET,BETWEEN BROADWAY & 8TH AVENUE,NEW YORK,NY,10019,03/20/2020,03/31/2022,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,,40.7645366,-73.9833266
32613,1306247,NEW YORK,OP,252,912863,IMMIGRANT TAP ROOM INC,THE IMMIGRANT TAP ROOM,341 E 9TH ST,WEST STORE,NEW YORK,NY,10003,11/19/2019,11/30/2021,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,CB3 Stips: Su-Th 6pm-1am; Fr/Sa 6pm-2am  Facade doors/windows closed 10pm,"CB3 Stips: No outdoor area, Happy Hr until 6pm Ambient Backround music only",,42.716793673113216,-73.70572411507096
32615,1301692,NEW YORK,OP,252,889648,LENOX SAPHIRE LLC,LENOX PUBLIC ,308 LENOX AVE,,NEW YORK,NY,10027,12/05/2019,09/30/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER & CIDER.",,Licensed Sidewalk Cafe,,40.708332517241374,-73.597312
32627,1289832,NEW YORK,OP,252,922691,200 MB CORP,JIMMY'S,156 W 38TH ST,AKA 515 7TH AVE,NEW YORK,NY,10018,07/01/2020,04/30/2022,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR     ",,"Recorded Music,Disc Jockey,Patron Dancing,Security Personnel",,40.7530826,-73.9879822
32630,1259552,NEW YORK,OP,252,913253,1043 REST CORP,ANGELO'S PIZZA,1043 2ND AVE,,NEW YORK,NY,10022,11/29/2019,12/31/2021,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR ",,,,40.7466224,-73.9745174
32632,1256485,NEW YORK,OP,252,910401,CASA 91 LLC,BLOCKHEADS,175 W 90TH ST,,NEW YORK,NY,10024,09/18/2019,09/30/2021,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",,Recorded Music,,40.7906048,-73.9725295
32641,1167877,NEW YORK,OP,252,908335,J CALDWELL CORP,BOBBY VAN'S,25 BROAD STREET,,NEW YORK,NY,10004,07/29/2019,08/31/2021,RESTAURANT SERVING BEER CIDER WINE & LIQUOR,,,,40.7060535,-74.011136
32650,1268537,NEW YORK,TW,344,919876,GVI BROADWAY LLC,VIN SUR VINGT,1140 BROADWAY,STORE #3,NEW YORK,NY,10001,07/22/2019,08/31/2021,TAVERN SERVING BEER CIDER AND WINE ONLY,,,,40.7439497,-73.9887933
32682,2001401,ALBANY,RR,250,909625,AMTRAK N R P CORP,PENN STATION CAR 77,PENN STATION,UNDER OPTION B,NEW YORK,NY,10001,08/27/2019,09/30/2021,"RAILROAD CAR SERVING BEER, CIDER, WINE AND LIQUOR",,,,40.751037,-73.9906989
32688,1024506,NEW YORK,OP,252,913012,RATHNALLY CORP,THE FULL SHILLING,160 PEARL ST,,NEW YORK,NY,10005,11/21/2019,11/30/2021,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.7057744,-74.0075857
32695,1024695,NEW YORK,OP,252,916936,219 AVENUE B MUSIC LOUNGE INC,REVISION LOUNGE AND GALLERY,219 AVENUE B,,NEW YORK,NY,10009,04/02/2020,03/31/2022,TAVERN SERVING BEER WINE CIDER AND LIQUOR,,,,40.7289041,-73.978241
32697,1319503,NEW YORK,OP,252,889183,LONG ACRE RESTAURANT ASSOCIATES LLC,LONG ACRE TAVERN,146 W 47TH ST,,NEW YORK,NY,10036,08/06/2019,07/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER & CIDER ",,Recorded Music ,,40.75857645,-73.98366758952324
32701,1306816,NEW YORK,OP,252,922222,TOWN STAGES LLC,,221 W BROADWAY,,NEW YORK,NY,10013,06/12/2020,04/30/2022,"BAR SERVING LIQUOR, WINE, BEER & CIDER","FB Stips: Close-Sun-Thur 11PM, Fri-Sat 1AM ",,,42.348794581515115,-76.84342454066204
32705,1121648,NEW YORK,OP,252,911808,PMF RESTAURANT CORP,JACK DEMPSEY'S PUB & REST,36 WEST 33RD STREET,5TH & 6TH AVENUES,NEW YORK,NY,10001,10/11/2019,10/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.7484275,-73.9868832
32743,1143166,NEW YORK,RW,341,841708,VILLA PIZZA OF BELLPORT INC,VILLA PIZZA,625 8TH AVE ,STORE A,NEW YORK,NY,10018,12/04/2019,11/30/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.7568546,-73.99146523386412
32747,1021499,NEW YORK,AX,122,907641,JORGE MELO,EL BARRIO SUPERETTE,1858 LEXINGTON AVENUE,,NEW YORK,NY,10029,08/15/2018,08/31/2021,"GROCERY STORE SELLING BEER, CIDER AND WINE PRODUCTS",,,,40.7980918,-73.9421739
32767,1315947,NEW YORK,TW,344,904374,DS1970 CORP,MODERN GOURMET,793 BROADWAY,,NEW YORK,NY,10003,08/02/2019,07/31/2021,"GOURMET DELI/ CAFE SERVING WINE, BEER AND CIDER",CB2 Stips: 5:30 AM to 12:00 AM All Days,Recorded music permitted no dancing,,40.73213425,-73.99163186315597
32778,1291338,NEW YORK,AX,122,912461,A & C SUPERMAS INC,ASSOCIATED SUPERMARKET,2444 7TH AVE,,NEW YORK,NY,10030,01/09/2019,01/31/2022,"GROCERY STORE SELLING BEER, CIDER AND WINE PRODUCTS      ",,,,40.8199553,-73.9406341
32785,1236647,NEW YORK,OP,252,915027,CLL BROTHERS  INC,,238 W 56TH STREET,BROADWAY & 8TH AVENUE,NEW YORK,NY,10019,02/05/2020,03/31/2022,RESTAURANT SERVING LIQUOR WINE CIDER & BEER,,,,40.7655783,-73.98282853909559
32790,1284875,NEW YORK,RW,341,840310,BROADWAY FIESTA RESTAURANT INC,LA FIESTA RESTAURANT,3789 BROADWAY,,NEW YORK,NY,10032,06/27/2019,06/30/2021,RESTAURANT SERVING WINE CIDER AND BEER,,"Recorded Music Permitted, No Dancing",,42.656537,-73.748564
